Елагин остров
Петроградский район, Санкт-Петербург, Россия
59.981978,30.254302 2048,655
59.980653,30.273230 4223,652
59.979293,30.270040 3966,985
59.980303,30.268538 3722,824
59.980029,30.236571 134,1362
59.981082,30.245643 1108,981
59.980451,30.247638 1362,1084
59.980082,30.247724 1376,1156
59.978901,30.247704 1413,1424
59.976170,30.257951 2635,1898
59.977202,30.260161 2888,1623
59.975975,30.268099 3842,1767
59.977636,30.270703 4069,1366
59.977582,30.267870 3746,1397
59.977636,30.266583 3588,1410
59.977746,30.260576 2930,1486
59.979246,30.253559 2048,1283
59.980784,30.254396 2096,906
59.978278,30.255769 2350,1448
59.979861,30.238479 336,1376
